Year,Age,Ethnic,Sex,Area,count
2018,1,9999,9,2,20499
2018,1,9999,9,3,6240
2018,1,9999,9,4,4026
2018,1,9999,9,5,705
2018,1,9999,9,6,2136
2018,1,9999,9,7,1470
2018,1,9999,9,8,2979
2018,1,9999,9,9,5793
2018,1,9999,9,12,321
2018,1,9999,9,13,6891
2018,1,9999,9,14,2211
2018,1,9999,9,15,1155
2018,1,9999,9,16,495
2018,1,9999,9,17,519
2018,1,9999,9,18,531
2018,1,9999,9,99,6
2018,1,9999,9,9999,58356
2018,1,9999,9,77,58350
2018,2,1,1,1,789
2018,2,1,1,2,5154
2018,2,1,1,3,2310
2018,2,1,1,4,1452
2018,2,1,1,5,216
2018,2,1,1,6,720
